Share,Opening,Closing,High,Lowest,Avg,h-l,-161.8,-138.2,-1,-76.4,-61.8,-50,-38.2,-23.6,Avg ,23.6,38.2,50,61.8,76.4,1,138.2,161.8
SETFNIF50,244.99,571.87,710,241.34,465.462,468.66,389.632812,400.693188,-3.198,107.40576,175.83012,231.132,286.43388,354.85824,465.462,576.06576,644.49012,699.792,755.09388,823.51824,934.122,530.230812,541.291188
SETFNIFBK,530.81,722.69,725,131.3,525.702,593.7,429.64134,443.65266,-67.998,72.1152,158.7954,228.852,298.9086,385.5888,525.702,665.8152,752.4954,822.552,892.6086,979.2888,1119.402,607.75134,621.76266
SETFNN50,667.97,132.98,677.75,131.61,424.976,546.14,336.610548,349.499452,-121.164,7.72504,87.46148,151.906,216.35052,296.08696,424.976,553.86504,633.60148,698.046,762.49052,842.22696,971.116,500.452548,513.341452
SETL,128.74,528.7,535.2,123,351.508,412.2,284.81404,294.54196,-60.692,36.5872,96.7684,145.408,194.0476,254.2288,351.508,448.7872,508.9684,557.608,606.2476,666.4288,763.708,408.47404,418.20196
SFL,498.75,461.15,509.9,444.55,483.506,65.35,472.93237,474.47463,418.156,433.5786,443.1197,450.831,458.5423,468.0834,483.506,498.9286,508.4697,516.181,523.8923,533.4334,548.856,492.53737,494.07963
SGFIN,451.55,506.1,513.3,11.95,383.952,501.35,302.83357,314.66543,-117.398,0.9206,74.1177,133.277,192.4363,265.6334,383.952,502.2706,575.4677,634.627,693.7863,766.9834,885.302,453.23857,465.07043
SGIL,480.25,12.01,530.2,12,302.878,518.2,219.03324,231.26276,-215.322,-93.0268,-17.3696,43.778,104.9256,180.5828,302.878,425.1732,500.8304,561.978,623.1256,698.7828,821.078,374.49324,386.72276
SGL,9.4,539.35,572.75,9.4,246.242,563.35,155.09197,168.38703,-317.108,-184.1574,-101.9083,-35.433,31.0423,113.2914,246.242,379.1926,461.4417,527.917,594.3923,676.6414,809.592,324.09697,337.39203
SGMART,504.8,132.34,513.8,4.9,254.576,508.9,172.23598,184.24602,-254.324,-134.2236,-59.9242,0.126,60.1762,134.4756,254.576,374.6764,448.9758,509.026,569.0762,643.3756,763.476,324.90598,336.91602
SHADOWFAX,114.9,4.97,120.7,4.95,63.2,115.75,44.47165,47.20335,-52.55,-25.233,-8.3335,5.325,18.9835,35.883,63.2,90.517,107.4165,121.075,134.7335,151.633,178.95,79.19665,81.92835
SHAH,4.9,68.28,2220,4.85,433.5,2215.15,75.08873,127.36627,-1781.65,-1258.8746,-935.4627,-674.075,-412.6873,-89.2754,433.5,956.2754,1279.6873,1541.075,1802.4627,2125.8746,2648.65,739.63373,791.91127
SHAHALLOYS,60.35,1950.5,2025,57.5,916.376,1967.5,598.0345,644.4675,-1051.124,-586.794,-299.539,-67.374,164.791,452.046,916.376,1380.706,1667.961,1900.126,2132.291,2419.546,2883.876,1188.2845,1234.7175
SHAILY,2078.8,510.25,2139,147.01,1070.618,1991.99,748.314018,795.324982,-921.372,-451.26236,-160.43182,74.623,309.67782,600.50836,1070.618,1540.72764,1831.55818,2066.613,2301.66782,2592.49836,3062.608,1345.911018,1392.921982
SHAKTIPUMP,495.85,153.89,522,47,272.338,475,195.483,206.693,-202.662,-90.562,-21.212,34.838,90.888,160.238,272.338,384.438,453.788,509.838,565.888,635.238,747.338,337.983,349.193
SHALBY,143.06,50.66,146.4,7.01,78.716,139.39,56.162698,59.452302,-60.674,-27.77796,-7.42702,9.021,25.46902,45.81996,78.716,111.61204,131.96298,148.411,164.85902,185.20996,218.106,97.979698,101.269302
SHALPAINTS,40.71,7.23,475,7.09,113.324,467.91,37.616162,48.658838,-354.586,-244.15924,-175.84438,-120.631,-65.41762,2.89724,113.324,223.75076,292.06562,347.279,402.49238,470.80724,581.234,177.989162,189.031838
SHANTI,6.7,461.95,467.9,6.4,224.426,461.5,149.7553,160.6467,-237.074,-128.16,-60.781,-6.324,48.133,115.512,224.426,333.34,400.719,455.176,509.633,577.012,685.926,288.2053,299.0967
SHANTIGEAR,449,182.6,1072,179,461.844,893,317.3566,338.4314,-431.156,-220.408,-90.03,15.344,120.718,251.096,461.844,672.592,802.97,908.344,1013.718,1144.096,1354.844,585.2566,606.3314
SHANTIGOLD,171.81,1057.25,1079.45,165.52,651.826,913.93,503.952126,525.520874,-262.104,-46.41652,87.01726,194.861,302.70474,436.13852,651.826,867.51348,1000.94726,1108.791,1216.63474,1350.06852,1565.756,778.131126,799.699874
SHARDACROP,898,831.3,1005,135,738.628,870,597.862,618.394,-131.372,73.948,200.968,303.628,406.288,533.308,738.628,943.948,1070.968,1173.628,1276.288,1403.308,1608.628,858.862,879.394
SHARDAMOTR,747,142.79,763.5,135.15,449.094,628.35,347.42697,362.25603,-179.256,-30.9654,60.7737,134.919,209.0643,300.8034,449.094,597.3846,689.1237,763.269,837.4143,929.1534,1077.444,535.93197,550.76103
SHAREINDIA,129.29,464.02,478.16,11.1,240.182,467.06,164.611692,175.634308,-226.878,-116.65184,-48.46108,6.652,61.76508,129.95584,240.182,350.40816,418.59892,473.712,528.82508,597.01584,707.242,304.729692,315.752308
SHARIABEES,451.22,11.81,484,11.51,206.24,472.49,129.791118,140.941882,-266.25,-154.74236,-85.75882,-30.005,25.74882,94.73236,206.24,317.74764,386.73118,442.485,498.23882,567.22236,678.73,271.538118,282.688882
SHEKHAWATI,10.2,101.91,4297.6,10.1,894.302,4287.5,200.5845,301.7695,-3393.198,-2381.348,-1755.373,-1249.448,-743.523,-117.548,894.302,1906.152,2532.127,3038.052,3543.977,4169.952,5181.802,1486.8345,1588.0195
SHEMAROO,89.7,4574,4620,84.06,1899.568,4535.94,1165.652908,1272.701092,-2636.372,-1565.89016,-903.64292,-368.402,166.83892,829.08616,1899.568,2970.04984,3632.29708,4167.538,4702.77892,5365.02616,6435.508,2526.434908,2633.483092
SHILCTECH,3970,420.1,4153.2,253.88,1839.706,3899.32,1208.796024,1300.819976,-2059.614,-1139.37448,-570.07376,-109.954,350.16576,919.46648,1839.706,2759.94552,3329.24624,3789.366,4249.48576,4818.78648,5739.026,2378.592024,2470.615976
SHILPAMED,388.9,264.66,396.9,17.35,264.99,379.55,203.57881,212.53619,-114.56,-24.9862,30.4281,75.215,120.0019,175.4162,264.99,354.5638,409.9781,454.765,499.5519,554.9662,644.54,317.44381,326.40119
SHIVALIK,238.05,19.08,250.63,17.4,114.028,233.23,76.291386,81.795614,-119.202,-64.15972,-30.10814,-2.587,24.93414,58.98572,114.028,169.07028,203.12186,230.643,258.16414,292.21572,347.258,146.260386,151.764614
SHIVAMAUTO,16.94,52.31,149.4,16.45,56.302,132.95,34.79069,37.92831,-76.648,-45.2718,-25.8611,-10.173,5.5151,24.9258,56.302,87.6782,107.0889,122.777,138.4651,157.8758,189.252,74.67569,77.81331
SHIVAMILLS,51.5,145.38,149.8,45.62,103.926,104.18,87.069676,89.528324,-0.254,24.33248,39.54276,51.836,64.12924,79.33952,103.926,128.51248,143.72276,156.016,168.30924,183.51952,208.106,118.323676,120.782324
SHIVATEX,146,139.81,301.4,132.95,168.932,168.45,141.67679,145.65221,0.482,40.2362,64.8299,84.707,104.5841,129.1778,168.932,208.6862,233.2799,253.157,273.0341,297.6278,337.382,192.21179,196.18721
SHK,122,295.8,304.9,33.11,174.512,271.79,130.536378,136.950622,-97.278,-33.13556,6.54578,38.617,70.68822,110.36956,174.512,238.65444,278.33578,310.407,342.47822,382.15956,446.302,212.073378,218.487622
SHOPERSTOP,295.7,38.53,303.05,35,146.108,268.05,102.73751,109.06349,-121.942,-58.6822,-19.5469,12.083,43.7129,82.8482,146.108,209.3678,248.5031,280.133,311.7629,350.8982,414.158,183.15251,189.47849
SHRADHA,30.5,70.84,24700,29,4917.592,24671,925.8242,1508.0598,-19753.408,-13931.052,-10329.086,-7417.908,-4506.73,-904.764,4917.592,10739.948,14341.914,17253.092,20164.27,23766.236,29588.592,8327.1242,8909.3598
SHREDIGCEM,65.83,24340,24495,63.76,9764.728,24431.24,5811.753368,6388.330632,-14666.512,-8900.73936,-5333.77832,-2450.892,431.99432,3998.95536,9764.728,15530.50064,19097.46168,21980.348,24863.23432,28430.19536,34195.968,13141.12537,13717.70263
SHREECEM,23460,345.5,24015,336.05,9558.192,23678.95,5726.93789,6285.76111,-14120.758,-8532.5258,-5075.3991,-2281.283,512.8331,3969.9598,9558.192,15146.4242,18603.5509,21397.667,24191.7831,27648.9098,33237.142,12830.62289,13389.44611
SHREEJISPG,339,338.35,359.15,49,286.166,310.15,235.98373,243.30327,-23.984,49.2114,94.4933,131.091,167.6887,212.9706,286.166,359.3614,404.6433,441.241,477.8387,523.1206,596.316,329.02873,336.34827
SHREEPUSHK,309.2,52.28,339.45,49.1,181.988,290.35,135.00937,141.86163,-108.362,-39.8394,2.5517,36.813,71.0743,113.4654,181.988,250.5106,292.9017,327.163,361.4243,403.8154,472.338,222.11437,228.96663
SHREERAMA,46.02,158.06,196.7,46.02,119.532,150.68,95.151976,98.708024,-31.148,4.41248,26.41176,44.192,61.97224,83.97152,119.532,155.09248,177.09176,194.872,212.65224,234.65152,270.212,140.355976,143.912024
SHREYANIND,143.87,192.04,3231.9,135,767.686,3096.9,266.60758,339.69442,-2329.214,-1598.3456,-1146.1982,-780.764,-415.3298,36.8176,767.686,1498.5544,1950.7018,2316.136,2681.5702,3133.7176,3864.586,1195.67758,1268.76442
SHRINGARMS,179.18,3608.2,3653,174.11,1625.782,3478.89,1062.897598,1144.999402,-1853.108,-1032.08996,-524.17202,-113.663,296.84602,804.76396,1625.782,2446.80004,2954.71798,3365.227,3775.73602,4283.65396,5104.672,2106.564598,2188.666402
SHRIPISTON,2928.4,1027.55,3072,71.06,1623.054,3000.94,1137.501908,1208.324092,-1377.886,-669.66416,-231.52692,122.584,476.69492,914.83216,1623.054,2331.27584,2769.41308,3123.524,3477.63492,3915.77216,4623.994,2037.783908,2108.606092
SHRIRAMFIN,895,78.53,932.4,4.05,399.316,928.35,249.10897,271.01803,-529.034,-309.9434,-174.4043,-64.859,44.6863,180.2254,399.316,618.4066,753.9457,863.491,973.0363,1108.5754,1327.666,527.61397,549.52303
SHRIRAMPPS,67.7,4.67,857,4.5,197.08,852.5,59.1455,79.2645,-655.42,-454.23,-329.765,-229.17,-128.575,-4.11,197.08,398.27,522.735,623.33,723.925,848.39,1049.58,314.8955,335.0145
SHYAMCENT,4.22,838.8,845,4.12,338.34,840.88,202.285616,222.130384,-502.54,-304.09232,-181.32384,-82.1,17.12384,139.89232,338.34,536.78768,659.55616,758.78,858.00384,980.77232,1179.22,454.549616,474.394384
SHYAMMETL,780,9.49,3245.6,9.05,965.554,3236.55,441.88021,518.26279,-2270.996,-1507.1702,-1034.6339,-652.721,-270.8081,201.7282,965.554,1729.3798,2201.9161,2583.829,2965.7419,3438.2782,4202.104,1412.84521,1489.22779
SHYAMTEL,9.7,3388.5,3402.4,8.8,1322.65,3393.6,773.56552,853.65448,-2070.95,-1270.0604,-774.5948,-374.15,26.2948,521.7604,1322.65,2123.5396,2619.0052,3019.45,3419.8948,3915.3604,4716.25,1791.64552,1871.73448
SIEMENS,3041.4,21.96,3084,20.52,1230.032,3063.48,734.360936,806.659064,-1833.448,-1110.46672,-663.19864,-301.708,59.78264,507.05072,1230.032,1953.01328,2400.28136,2761.772,3123.26264,3570.53072,4293.512,1653.404936,1725.703064
SIGACHI,19.48,49.74,51.01,18.65,35.736,32.36,30.500152,31.263848,3.376,11.01296,15.73752,19.556,23.37448,28.09904,35.736,43.37296,48.09752,51.916,55.73448,60.45904,68.096,40.208152,40.971848
SIGIND,47.44,44.38,836.95,41.13,201.302,795.82,72.538324,91.319676,-594.518,-406.70448,-290.51476,-196.608,-102.70124,13.48848,201.302,389.11552,505.30524,599.212,693.11876,809.30848,997.122,311.284324,330.065676
SIGMA,39.4,821.5,842.3,38.43,395.432,803.87,265.365834,284.337166,-408.438,-218.72468,-101.35966,-6.503,88.35366,205.71868,395.432,585.14532,702.51034,797.367,892.22366,1009.58868,1199.302,506.526834,525.498166
SIGNATURE,750,242.89,804.5,4.68,410.01,799.82,280.599124,299.474876,-389.81,-201.05248,-84.27876,10.1,104.47876,221.25248,410.01,598.76752,715.54124,809.92,904.29876,1021.07248,1209.83,520.545124,539.420876
SIGNPOST,225.63,4.95,234.5,4.75,96.964,229.75,59.79045,65.21255,-132.786,-78.565,-45.0215,-17.911,9.1995,42.743,96.964,151.185,184.7285,211.839,238.9495,272.493,326.714,128.71545,134.13755
SIKKO,4.34,14.71,78.28,4.2,22.91,74.08,10.923856,12.672144,-51.17,-33.68712,-22.87144,-14.13,-5.38856,5.42712,22.91,40.39288,51.20856,59.95,68.69144,79.50712,96.99,33.147856,34.896144
SIL,13.08,75.16,440,13.08,121.09,426.92,52.014344,62.089656,-305.83,-205.07688,-142.74656,-92.37,-41.99344,20.33688,121.09,221.84312,284.17344,334.55,384.92656,447.25688,548.01,180.090344,190.165656
SILGO,74.95,429.75,437,15,202.49,422,134.2104,144.1696,-219.51,-119.918,-58.306,-8.51,41.286,102.898,202.49,302.082,363.694,413.49,463.286,524.898,624.49,260.8104,270.7696
SILINV,401.75,16.82,418,15.55,217.386,402.45,152.26959,161.76741,-185.064,-90.0858,-31.3281,16.161,63.6501,122.4078,217.386,312.3642,371.1219,418.611,466.1001,524.8578,619.836,273.00459,282.50241
SILLYMONKS,15.9,236.09,239.06,14.76,104.906,224.3,68.61426,73.90774,-119.394,-66.4592,-33.7114,-7.244,19.2234,51.9712,104.906,157.8408,190.5886,217.056,243.5234,276.2712,329.206,135.90426,141.19774
SILVER,225.33,22.97,238.65,22.53,148.222,216.12,113.253784,118.354216,-67.898,-16.89368,14.65984,40.162,65.66416,97.21768,148.222,199.22632,230.77984,256.282,281.78416,313.33768,364.342,178.089784,183.190216
SILVER1,22.34,232.55,236.9,21.31,148.204,215.59,113.321538,118.409462,-67.386,-16.50676,14.96938,40.409,65.84862,97.32476,148.204,199.08324,230.55938,255.999,281.43862,312.91476,363.794,177.998538,183.086462
SILVER360,221,228.49,235.57,220.56,227.756,15.01,225.327382,225.681618,212.746,216.28836,218.47982,220.251,222.02218,224.21364,227.756,231.29836,233.48982,235.261,237.03218,239.22364,242.766,229.830382,230.184618
SILVERADD,217.63,230.76,233.3,217.63,226.4,15.67,223.864594,224.234406,210.73,214.42812,216.71594,218.565,220.41406,222.70188,226.4,230.09812,232.38594,234.235,236.08406,238.37188,242.07,228.565594,228.935406
SILVERAG,222.35,226.54,234.98,220.06,226.258,14.92,223.843944,224.196056,211.338,214.85912,217.03744,218.798,220.55856,222.73688,226.258,229.77912,231.95744,233.718,235.47856,237.65688,241.178,228.319944,228.672056
SILVERBEES,216.11,228.74,242.99,216.1,227.28,26.89,222.929198,223.563802,200.39,206.73604,210.66198,213.835,217.00802,220.93396,227.28,233.62604,237.55198,240.725,243.89802,247.82396,254.17,230.996198,231.630802
SILVERBETA,218.1,237.68,239.95,24.05,188.444,215.9,153.51138,158.60662,-27.456,23.4964,55.0178,80.494,105.9702,137.4916,188.444,239.3964,270.9178,296.394,321.8702,353.3916,404.344,218.28138,223.37662
SILVERBND,223,24.03,242.65,23.61,149.84,219.04,114.399328,119.568672,-69.2,-17.50656,14.47328,40.32,66.16672,98.14656,149.84,201.53344,233.51328,259.36,285.20672,317.18656,368.88,180.111328,185.280672
SILVERCASE,23,236.27,246.34,22.31,128.848,224.03,92.599946,97.887054,-95.182,-42.31092,-9.60254,16.833,43.26854,75.97692,128.848,181.71908,214.42746,240.863,267.29854,300.00692,352.878,159.808946,165.096054
SILVERIETF,231.2,127.61,237.91,125,180.072,112.91,161.803162,164.467838,67.162,93.80876,110.29362,123.617,136.94038,153.42524,180.072,206.71876,223.20362,236.527,249.85038,266.33524,292.982,195.676162,198.340838
SILVERTUC,118.89,192.96,194.4,75.13,138.296,119.27,118.998114,121.812886,19.026,47.17372,64.58714,78.661,92.73486,110.14828,138.296,166.44372,183.85714,197.931,212.00486,229.41828,257.566,154.779114,157.593886
SIMPLEXINF,157.7,81.17,173.4,22.35,103.542,151.05,79.10211,82.66689,-47.508,-11.8602,10.1931,28.017,45.8409,67.8942,103.542,139.1898,161.2431,179.067,196.8909,218.9442,254.592,124.41711,127.98189
SINCLAIR,79,23.03,79,22.25,53.684,56.75,44.50185,45.84115,-3.066,10.327,18.6125,25.309,32.0055,40.291,53.684,67.077,75.3625,82.059,88.7555,97.041,110.434,61.52685,62.86615
SINDHUTRAD,22.17,74.37,83.41,21.63,52.126,61.78,42.129996,43.588004,-9.654,4.92608,13.94596,21.236,28.52604,37.54592,52.126,66.70608,75.72596,83.016,90.30604,99.32592,113.906,60.663996,62.122004
SINGERIND,69.94,81.51,421.8,66.01,142.5,355.79,84.933178,93.329822,-213.29,-129.32356,-77.37822,-35.395,6.58822,58.53356,142.5,226.46644,278.41178,320.395,362.37822,414.32356,498.29,191.670178,200.066822
SINTERCOM,70.41,437.15,443.9,70.41,259.51,373.49,199.079318,207.893682,-113.98,-25.83636,28.69318,72.765,116.83682,171.36636,259.51,347.65364,402.18318,446.255,490.32682,544.85636,633,311.126318,319.940682
SIRCA,428.05,302.75,541.3,294.05,391.188,247.25,351.18295,357.01805,143.938,202.289,238.3875,267.563,296.7385,332.837,391.188,449.539,485.6375,514.813,543.9885,580.087,638.438,425.35795,431.19305
SIS,292.15,532.2,1735.9,279.9,665.126,1456,429.5452,463.9068,-790.874,-447.258,-234.682,-62.874,108.934,321.51,665.126,1008.742,1221.318,1393.126,1564.934,1777.51,2121.126,866.3452,900.7068
SIYSIL,489.9,1793.4,1813.4,69.11,919.544,1744.29,637.317878,678.483122,-824.746,-413.09356,-158.42722,47.399,253.22522,507.89156,919.544,1331.19644,1585.86278,1791.689,1997.51522,2252.18156,2663.834,1160.604878,1201.770122
SJS,1590,72.15,1645,69.71,986.382,1575.29,731.500078,768.676922,-588.908,-217.13956,12.85278,198.737,384.62122,614.61356,986.382,1358.15044,1588.14278,1774.027,1959.91122,2189.90356,2561.672,1204.087078,1241.263922
SJVN,67.21,1620.2,2309.9,65.85,1123.076,2244.05,759.98871,812.94829,-1120.974,-591.3782,-263.7469,1.051,265.8489,593.4802,1123.076,1652.6718,1980.3031,2245.101,2509.8989,2837.5302,3367.126,1433.20371,1486.16329
SKFINDIA,1532.1,2265.1,2303.6,372.45,1587.224,1931.15,1274.76393,1320.33907,-343.926,111.8254,393.7733,621.649,849.5247,1131.4726,1587.224,2042.9754,2324.9233,2552.799,2780.6747,3062.6226,3518.374,1854.10893,1899.68407
SKFINDUS,2277.9,384.3,2280,165.68,1079.488,2114.32,737.391024,787.288976,-1034.832,-535.85248,-227.16176,22.328,271.81776,580.50848,1079.488,1578.46752,1887.15824,2136.648,2386.13776,2694.82848,3193.808,1371.687024,1421.584976
SKIPPER,353.15,174.64,388,171.5,289.124,216.5,254.0943,259.2037,72.624,123.718,155.327,180.874,206.421,238.03,289.124,340.218,371.827,397.374,422.921,454.53,505.624,319.0443,324.1537
SKMEGGPROD,157.55,389.35,399.7,15.26,223.058,384.44,160.855608,169.928392,-161.382,-70.65416,-14.52592,30.838,76.20192,132.33016,223.058,313.78584,369.91408,415.278,460.64192,516.77016,607.498,276.187608,285.260392
SKYGOLD,344,16,379.9,15.15,154.444,364.75,95.42745,104.03555,-210.306,-124.225,-70.9715,-27.931,15.1095,68.363,154.444,240.525,293.7785,336.819,379.8595,433.113,519.194,204.85245,213.46055
SMALL250,14.76,15.8,41.21,14.55,20.422,26.66,16.108412,16.737588,-6.238,0.05376,3.94612,7.092,10.23788,14.13024,20.422,26.71376,30.60612,33.752,36.89788,40.79024,47.082,24.106412,24.735588
SMALLADD,14.83,41.7,122.5,14.6,46.6,107.9,29.14178,31.68822,-61.3,-35.8356,-20.0822,-7.35,5.3822,21.1356,46.6,72.0644,87.8178,100.55,113.2822,129.0356,154.5,61.51178,64.05822
SMALLCAP,39,123.7,408,38.6,144.474,369.4,84.70508,93.42292,-224.926,-137.7476,-83.8152,-40.226,3.3632,57.2956,144.474,231.6524,285.5848,329.174,372.7632,426.6956,513.874,195.52508,204.24292
SMARTLINK,116.25,405.15,411,61.11,221.236,349.89,164.623798,172.881202,-128.654,-46.07996,5.00398,46.291,87.57802,138.66196,221.236,303.81004,354.89398,396.181,437.46802,488.55196,571.126,269.590798,277.848202
SMARTWORKS,374,62.86,387,9.09,179.354,377.91,118.208162,127.126838,-198.556,-109.36924,-54.19438,-9.601,34.99238,90.16724,179.354,268.54076,323.71562,368.309,412.90238,468.07724,557.264,231.581162,240.499838
SMCGLOBAL,61.5,9.54,4362.6,9.24,886.664,4353.36,182.290352,285.029648,-3466.696,-2439.30304,-1803.71248,-1290.016,-776.31952,-140.72896,886.664,1914.05696,2549.64752,3063.344,3577.04048,4212.63104,5240.024,1488.298352,1591.037648
SML100CASE,9.08,4151.1,4383.2,8.75,1695.5,4374.45,987.71399,1090.95101,-2678.95,-1646.5798,-1007.9101,-491.725,24.4601,663.1298,1695.5,2727.8702,3366.5399,3882.725,4398.9101,5037.5798,6069.95,2300.04899,2403.28601
SMLMAH,4100,69.49,4152,68.05,1729.556,4083.95,1068.77289,1165.15411,-2354.394,-1390.5818,-794.3251,-312.419,169.4871,765.7438,1729.556,2693.3682,3289.6249,3771.531,4253.4371,4849.6938,5813.506,2293.95789,2390.33911
SMLT,64,418.4,429.95,36.5,201.11,393.45,137.44979,146.73521,-192.34,-99.4858,-42.0421,4.385,50.8121,108.2558,201.11,293.9642,351.4079,397.835,444.2621,501.7058,594.56,255.48479,264.77021
SMSPHARMA,390,40.73,396.7,35,178.97,361.7,120.44694,128.98306,-182.73,-97.3688,-44.5606,-1.88,40.8006,93.6088,178.97,264.3312,317.1394,359.82,402.5006,455.3088,540.67,228.95694,237.49306
SNOWMAN,34.91,40.27,88,34.33,47.644,53.67,38.960194,40.226806,-6.026,6.64012,14.47594,20.809,27.14206,34.97788,47.644,60.31012,68.14594,74.479,80.81206,88.64788,101.314,55.061194,56.327806
SNXT30BEES,38.37,88.03,1322.1,37.58,309.82,1284.52,101.984664,132.299336,-974.7,-671.55328,-484.01336,-332.44,-180.86664,6.67328,309.82,612.96672,800.50664,952.08,1103.65336,1291.19328,1594.34,487.340664,517.655336
SNXT50BETA,82.23,1299.9,1329.6,81.05,613.556,1248.55,411.54061,441.00639,-634.994,-340.3362,-158.0479,-10.719,136.6099,318.8982,613.556,908.2138,1090.5021,1237.831,1385.1599,1567.4482,1862.106,786.10561,815.57139
SOBHA,1169.9,315.09,1243.7,292.13,702.684,951.57,548.719974,571.177026,-248.886,-24.31548,114.61374,226.899,339.18426,478.11348,702.684,927.25452,1066.18374,1178.469,1290.75426,1429.68348,1654.254,834.190974,856.648026
SOFTTECH,259.51,485.8,14000,247.49,3035.816,13752.51,810.659882,1135.219118,-10716.694,-7471.10164,-5463.23518,-3840.439,-2217.64282,-209.77636,3035.816,6281.40836,8289.27482,9912.071,11534.86718,13542.73364,16788.326,4936.412882,5260.972118
SOLARA,490,14073,14259,172.03,5815.092,14086.97,3535.820254,3868.272746,-8271.878,-4947.35308,-2890.65546,-1228.393,433.86946,2490.56708,5815.092,9139.61692,11196.31454,12858.577,14520.83946,16577.53708,19902.062,7761.911254,8094.363746
SOLARINDS,13109,175.79,13450,172.17,5598.036,13277.83,3449.683106,3763.039894,-7679.794,-4546.22612,-2607.66294,-1040.879,525.90494,2464.46812,5598.036,8731.60388,10670.16706,12236.951,13803.73494,15742.29812,18875.866,7433.032106,7746.388894
SOLARWORLD,179.4,1282.4,1316.3,166.52,642.172,1149.78,456.137596,483.272404,-507.608,-236.25992,-68.39204,67.282,202.95604,370.82392,642.172,913.52008,1081.38796,1217.062,1352.73604,1520.60392,1791.952,801.071596,828.206404
SOLEX,1020,426.3,1093.05,100.01,606.174,993.04,445.500128,468.935872,-386.866,-152.50856,-7.52472,109.654,226.83272,371.81656,606.174,840.53144,985.51528,1102.694,1219.87272,1364.85656,1599.214,743.412128,766.847872
SOMANYCERA,388.2,111.96,543.45,105,309.102,438.45,238.16079,248.50821,-129.348,-25.8738,38.1399,89.877,141.6141,205.6278,309.102,412.5762,476.5899,528.327,580.0641,644.0778,747.552,369.69579,380.04321
SOMICONVEY,100.93,554.25,559.85,52.51,265.618,507.34,183.530388,195.503612,-241.722,-121.98976,-47.91812,11.948,71.81412,145.88576,265.618,385.35024,459.42188,519.288,579.15412,653.22576,772.958,335.732388,347.705612
SONACOMS,499.5,54.45,517,52.58,273.74,464.42,198.596844,209.557156,-190.68,-81.07688,-13.27156,41.53,96.33156,164.13688,273.74,383.34312,451.14844,505.95,560.75156,628.55688,738.16,337.922844,348.883156
SONAMLTD,52.93,246.27,342.5,52.01,186.214,290.49,139.212718,146.068282,-104.276,-35.72036,6.69118,40.969,75.24682,117.65836,186.214,254.76964,297.18118,331.459,365.73682,408.14836,476.704,226.359718,233.215282
SONATSOFTW,233,344.05,347,37.91,237.108,309.09,187.097238,194.391762,-71.982,0.96324,46.09038,82.563,119.03562,164.16276,237.108,310.05324,355.18038,391.653,428.12562,473.25276,546.198,279.824238,287.118762
SOTL,319.5,38.76,326,37.9,188.576,288.1,141.96142,148.76058,-99.524,-31.5324,10.5302,44.526,78.5218,120.5844,188.576,256.5676,298.6302,332.626,366.6218,408.6844,476.676,228.39142,235.19058
SOUTHBANK,37.1,228.55,776,35.92,260.692,740.08,140.947056,158.412944,-479.388,-304.72912,-196.67744,-109.348,-22.01856,86.03312,260.692,435.35088,543.40256,630.732,718.06144,826.11312,1000.772,362.971056,380.436944
SOUTHWEST,216,762.95,813.8,206.9,442.46,606.9,344.26358,358.58642,-164.44,-21.2116,67.3958,139.01,210.6242,299.2316,442.46,585.6884,674.2958,745.91,817.5242,906.1316,1049.36,526.33358,540.65642
SPAL,717.15,216.02,745,127.09,406.34,617.91,306.362162,320.944838,-211.57,-65.74324,24.47162,97.385,170.29838,260.51324,406.34,552.16676,642.38162,715.295,788.20838,878.42324,1024.25,491.735162,506.317838
SPANDANA,200,148.34,204.6,3.61,140.55,200.99,108.029818,112.773182,-60.44,-13.00636,16.33818,40.055,63.77182,93.11636,140.55,187.98364,217.32818,241.045,264.76182,294.10636,341.54,168.326818,173.070182
SPARC,124.06,3.95,132.5,3.62,71.598,128.88,50.745216,53.786784,-57.282,-26.86632,-8.04984,7.158,22.36584,41.18232,71.598,102.01368,120.83016,136.038,151.24584,170.06232,200.478,89.409216,92.450784
SPCENET,3.19,103.23,1370,3.16,306.78,1366.84,85.625288,117.882712,-1060.06,-737.48576,-537.92712,-376.64,-215.35288,-15.79424,306.78,629.35424,828.91288,990.2,1151.48712,1351.04576,1673.62,495.677288,527.934712
SPECIALITY,98,1225,1299,29.87,535.382,1269.13,330.036766,359.988234,-733.748,-434.23332,-248.94034,-99.183,50.57434,235.86732,535.382,834.89668,1020.18966,1169.947,1319.70434,1504.99732,1804.512,710.775766,740.727234
SPECTRUM,1423.9,33.85,1423.9,30.21,571.604,1393.69,346.104958,378.996042,-822.086,-493.17516,-289.69642,-125.241,39.21442,242.69316,571.604,900.51484,1103.99358,1268.449,1432.90442,1636.38316,1965.294,764.211958,797.103042
SPENCERS,30.64,67.29,68.55,26.1,44.246,42.45,37.37759,38.37941,1.796,11.8142,18.0119,23.021,28.0301,34.2278,44.246,54.2642,60.4619,65.471,70.4801,76.6778,86.696,50.11259,51.11441
SPIC,61.51,28.28,754.75,26.99,184.956,727.76,67.204432,84.379568,-542.804,-371.05264,-264.79968,-178.924,-93.04832,13.20464,184.956,356.70736,462.96032,548.836,634.71168,740.96464,912.716,285.532432,302.707568
